Species,Sampling site,Latitude,Longitude,N,AR,HE
B. bimaculatus,"Murphysboro, IL",37.7735,−89.4186,22,4.74,0.71
B. bimaculatus,"Castle Rock S.P., IL",41.9783,−89.3570,15,4.73,0.688
B. bimaculatus,"IL Beach S.P., IL",42.4605,−88.1922,9,4.71,0.689
B. bimaculatus,"Alamo, IN",39.9602,−87.0686,17,4.7,0.684
B. bimaculatus,"Nebraska, IN",39.0653,−85.4376,13,4.79,0.699
B. bimaculatus,"Winamac, IN",41.0231,−86.5835,25,4.91,0.714
B. bimaculatus,"Frankfort, KY",38.1641,−84.9442,9,4.86,0.728
B. bimaculatus,"Ashby, MA",42.6797,−71.8281,12,4.81,0.691
B. bimaculatus,"Ashley Falls, MA",42.0654,−73.3283,22,4.88,0.69
B. bimaculatus,"Red Wing, MN",44.5577,−92.4883,18,4.52,0.655
B. bimaculatus,"Sakatah S.P., MN",44.2196,−93.5228,20,4.71,0.69
B. bimaculatus,"Shaw Reserve 1, MO",38.4834,−90.8230,10,4.48,0.695
B. bimaculatus,"Shaw Reserve 2, MO",38.4682,−90.8174,10,4.89,0.715
B. bimaculatus,"Litzinger Prairie, MO",38.6226,−90.3771,11,4.6,0.698
B. bimaculatus,"Billings, MO",37.0566,−93.5678,6,4.89,0.688
B. bimaculatus,"Westfield, NC",36.4704,−80.3947,6,4.58,0.664
B. bimaculatus,"Marion, NC",35.8935,−81.9367,6,4.72,0.702
B. bimaculatus,"Plattsmouth, NE",40.9998,−95.8726,7,4.81,0.686
B. bimaculatus,"Dannebrog, NE",41.1255,−98.5542,10,4.19,0.646
B. bimaculatus,"Seneca Lake, NY",42.6817,−76.8511,9,4.71,0.68
B. bimaculatus,"Wading River, Long Isl., NY",40.9444,−72.8361,6,4.51,0.682
B. bimaculatus,"Stony Brook, Long Isl., NY",40.9239,−73.1238,6,4.84,0.711
B. bimaculatus,"Oak Harbor, OH",41.4938,−83.2199,18,4.52,0.668
B. bimaculatus,"Wooster, OH",40.9082,−81.9792,18,4.61,0.68
B. bimaculatus,"Sinnemahoning S.P., PA",41.4028,−78.0264,28,4.77,0.692
B. bimaculatus,"DeSmet, SD",44.3717,−97.5246,13,4.55,0.694
B. bimaculatus,"Cherokee N.F., TN",35.9228,−82.9772,17,4.81,0.697
B. bimaculatus,"Coker Creek, TN",35.241,−84.3182,14,4.68,0.696
B. bimaculatus,"Big Reed Island Creek, VA",36.7229,−80.5809,5,4.45,0.675
B. bimaculatus,"Ludlow, VT",43.4144,−72.7055,7,4.73,0.685
B. bimaculatus,"Wilmington, VT",42.8884,−72.8616,13,4.82,0.698
B. bimaculatus,"Wyeville, WI",44.03,−90.4203,16,4.97,0.721
B. bimaculatus,"Wisconsin Dells, WI",43.6422,−89.8111,11,4.66,0.686
